epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.292696,0.461188,0.791494,0.780079
2,1.463179,0.630033,0.603125,0.831762
3,1.254417,0.676924,0.522201,0.850812
4,1.136808,0.707868,0.475417,0.865663
5,1.053854,0.726944,0.463123,0.868594
6,0.927739,0.756594,0.420519,0.881743
7,0.878741,0.769584,0.409937,0.883842
8,0.861936,0.773413,0.404863,0.885941
9,0.839613,0.779921,0.402337,0.88705
10,0.829619,0.78103,0.398605,0.888158
11,0.810314,0.787432,0.396227,0.888792
12,0.813649,0.786403,0.393842,0.888752
13,0.800168,0.789571,0.395376,0.889663
14,0.80353,0.788264,0.393731,0.88899
15,0.801764,0.790125,0.395797,0.888317
